Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.312602008611974,-0.786784273110783,0.125911838812879,0,0,0,0.395746426572705,0.0238451402923673,-1.871942813432E-19,1.17229200993357E-35,3.58150516048297E-05,1.45785254850306E-18,0.0238451402923673,0,0,0,0,0,0,package://urdf3/meshes/base_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://urdf3/meshes/base_link.STL,,model1-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link2,-3.8858E-16,4.4409E-16,0.24,0,0,0,0.06635,0.001278,-5.421E-20,1.669E-18,0.001278,-2.1229E-18,8.0948E-06,0,0,0,0,0,0,package://urdf3/meshes/link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf3/meshes/link2.STL,,link2-1,Origin_revolute1,,revolute1,fixed,-0.12116,-1.0353,-0.32519,0.079771,-0.38068,-0.21192,base_link,0,0,0,0,0,0,0,,,,,,,,
